Product Name,Price,Description,Image URLs,Product URL,In House Label,Categories,Category Rankings
"D3-50 Cholecalciferol 50,000IU",$33.00 USD,"Vitamin D has multiple roles in the body. It assists in:
Promotion Healthy Bones & Teeth
Supporting immune, brain, and nervous system health
Regulating insulin levels and supporting diabetes management
Supporting lung function and cardiovascular health
Influencing the expression of genes involved in cancer development",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/d350.jpg; https://wellnessshoppes.com/cdn/shop/products/d350ing.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/d3-50-cholecalciferol-50-000iu,True,"['Mind', 'Body']","['Body', 'Mind']"
Denovo,$36.00 USD,"Uses
Folic acid
is the man-made form of folate. Folate is a B-vitamin naturally found in some foods. It is needed to form healthy cells, especially red
blood cells
.
Folic acid
supplements
may come in different forms (such as L-
methylfolate
, levomefolate, methyltetrahydrofolate). They are used to treat or prevent low folate levels. Low folate levels can lead to certain types of
anemia
. Conditions that can cause low folate levels include poor diet,
pregnancy
,
alcoholism
,
liver disease
, certain
stomach
/intestinal problems,
kidney dialysis
, among others. Women of childbearing age should receive adequate amounts of folic acid either through their diet or
supplements
to prevent
infant
spinal cord
birth defects
.
How to use Denovo
Take this product by
mouth
with or without food as directed by your doctor, usually once daily. If you are taking the over-the-counter product, follow all directions on the product package. If you have any questions, ask your doctor or
pharmacist
.
Dosage is based on your medical condition and response to treatment. Do not increase your dose or take this product more often than directed.
Take this product regularly to get the most benefit from it. To help you remember, take it at the same time each day. Follow the
diet plan
recommended by your doctor or dietician.
If your condition persists or worsens, or if you think you may have a serious medical problem, get medical help right away.
Active Ingredients:
15mg L-methylfolate (L-5-MTHF from L-5-methyltetahyrofolate calcium salt)
Inactive Ingredients:
microcrystalline cellulose, gelatin, vegetable magnesium stearate, silica, titanium dioxide, FD&C yellow #5k, FD&C yellow #6
Uses:
Denovo® is indicated for the distinct metabolic requirements of individuals who have suboptimal L-methylfolate levels in the cerebrospinal fluid, plasma, and/or red blood cells and have major depressive disorder (MDD) with particular emphasis as adjunctive support for individuals who are on an antidepressant.
Warnings:
Folic acid, when administered in daily doses above 0.1mg, may obscure the detection of B12 deficiency (specifically, the administration of folic acid may reverse the hematological manifestations of B12 deficiency, including pernicious anemia, while not addressing the neurological manifestations.) 5-MTHF may be less likely than folic acid to mask B12 deficiency. Folate therapy alone is inadequate for the treatment of B12 deficiency.
Caution is recommended in patients with a history of bipolar illness. Patients with depressive symptoms should be adequately screened to determine if they are at risk for bipolar disorder.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/denovo.jpg; https://wellnessshoppes.com/cdn/shop/products/denovoing.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/denovo,False,['Body'],['Body']
Detoxication Factors,$37.50 USD,"Liver detoxification occurs in two phases. During Phase I, enzymatic chemical reactions change both exogenous substances (e.g., prescription medications and pesticides) and endogenous toxins (e.g., hormones) into more water-soluble metabolites. In Phase II detoxication, the liver conjugates these metabolites to protective compounds— such as glucuronides, glutathione, sulfonates, and amino acids—that make them less harmful and easier to eliminate.1
Developed to support healthy Phase I and II detoxication pathways in the liver, Detoxication Factors provides an expertly formulated combination of 38 ingredients.* It can be used for everyday nutritional support, for periods of increased oxidative stress and targeted cleansing, and can be incorporated into individualized endocrine, cardiovascular, or cellular support protocols.*",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/DetoxificationFactors.jpg; https://wellnessshoppes.com/cdn/shop/products/DetoxicationFactorsing.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/detoxication-factors,False,['Body'],['Body']
Dizziness-Vertigo,$25.00 USD,"Homeopathic. Formulated for symptoms such as dizziness, nausea and sensations of motion, spinning or floating.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/dizziv.jpg; https://wellnessshoppes.com/cdn/shop/products/Dizziness-Vertigoing.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/dizziness-vertigo,False,[],[]
Duo Mag,$31.00 USD,"Muscle, Nerve & Energy Support*
Duo Mag
™
features the highly absorbable magnesium lysinate glycinate chelate and the patented di-magnesium malate from Albion Laboratories, Inc., the world leader in patented mineral amino acid chelate and organic mineral acid complex research and development.* NuMedica
®
has chosen Albion Laboratories, Inc. mineral technology to provide the highest quality minerals for optimal absorption and utilization.*
Magnesium is involved in over 300 enzyme-related processes including cardiac, muscle and nerve function and the production of ATP for energy.* Magnesium also plays a role in supporting optimal bone density and maintenance of blood glucose levels.*
One Capsule Contains:
Magnesium (as di-magnesium malate and magnesium lysinate glycinate chelate)
†
125 mg
Other Ingredients:
Hydroxypropyl methylcellulose (vegetable capsule), magnesium stearate, silica.
Does Not Contain:
Milk, eggs, fish, shellfish, tree nuts, peanuts, wheat, soy.
Caution:
Keep out of reach of children.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/duomag.jpg; https://wellnessshoppes.com/cdn/shop/products/duomaging.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/duo-mag,True,"['Body', 'Spirit']","['Body', 'Spirit']"
Egcg,$21.00 USD,"Green Tea has been extensively studied and researchers have found its active constituents to be a family of polyphenols called catechins.* One catechin in particular, epigallocatechin-3-gallate (EGCg) has demonstrated extraordinary free radical quenching power in laboratory studies.* One capsule of Protocol For Life Balance® EGCg possesses the phytonutrient content equal to about 2-3 cups of green tea.
• Supports Cellular Health*
• 200 mg EGCg / 80% Catechins
Green Tea Extract (Camellia sinensis) (Leaf) (Standardized Extract) [min. 80% Total Catechins and 50% EGCg (Epigallocatechin Gallate) (200 mg)] (up to 4 mg of naturally occurring caffeine)
400 mg
Decaffeinated Green Tea (Camellia sinensis) (Leaf)
50 mg
Other Ingredients:
Cellulose (capsule), Silica, Magnesium Stearate (vegetable source)",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/egcg.jpg; https://wellnessshoppes.com/cdn/shop/products/egcging.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/egcg,False,['Body'],['Body']
EZ-Move Iron,$28.50 USD,"Ez Move Iron
®
is an advanced iron formula supplying key nutrients to assist the body’s production of hemoglobin and healthy red blood cells.* It features Ferrochel
™
, Albion’s patented iron bisglycinate chelate. Ferrochel
™
is a well-tolerated, non-constipating iron that is much more highly absorbable than other forms of iron commonly used in dietary supplements.* The 5-MTHF in this formula is the most biologically active form of folate, allowing rapid uptake into the bloodstream.* The 5-MTHF in this formula is also known as the ""L"" form of 5-MTHF since it is the reduced form of folate.
One Capsule Contains:
Vitamin C (as calcium ascorbate)
100 mg
Thiamin (as thiamin hydrochloride)
5 mg
Vitamin B6 (as pyridoxal-5'-phosphate)
10 mg
Folate (as 600 mcg L-5-methyltetrahydrofolate, calcium salt)
1020 mcg DFE
Vitamin B12 (as methylcobalamin)
800 mcg
Iron (as ferrous bisglycinate chelate)
†
29 mg
Other Ingredients:
Hydroxypropyl methylcellulose (vegetable capsule), microcrystalline cellulose.
Does Not Contain:
Milk, eggs, fish, shellfish, tree nuts, peanuts, wheat, soy.
Warning:
Accidental overdose of iron-containing products is a leading cause of fatal poisoning in children under 6. Keep this product out of reach of children. In case of accidental overdose, call a doctor or poison control center immediately.
Caution:
Keep out of reach of children.
Storage:
Keep tightly closed in a cool, dry place.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/ezmoveiron.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/ez-move-iron,True,['Body'],['Body']
Femmo-Purr,$58.00 USD,"Femmo-Purr delivers biologically active folate and other key methylation vitamins in combination with a targeted blend of ingredients to encourage hormone balance, help modify xenoestrogen activity, and restore tranquility. Vitex and black cohosh provide traditional hormone-balancing support; DIM, calcium D-glucarate, and 8-prenylnaringenin (from hops extract) promote estrogen detoxification; and rosemary, resveratrol, grape seed extract, and green tea extract provide antioxidant activity.*
Supports Balance of the Female Hormone Cycle*
May Ease Common Symptoms Associated with PMS and Menopause*
Promotes Estrogen Detoxification*
Provides Antioxidant and Cellular Support
Supplement Facts
Serving Size: 2 Capsules
Servings Per Container: 60
Amount Per Serving
% Daily Value
Vitamin B6 (as pyridoxine HCl and pyridoxal 5’-phosphate)
15 mg
882%
Folate (as Quatrefolic
®
(6S)-5-methyltetrahydrofolic acid, glucosamine salt)
200 mcg DFE
50%
Vitamin B12 (as MecobalActive
™
methylcobalamin)
200 mcg
8333%
Calcium (as DimaCal
®
dicalcium malate, calcium D-glucarate, and TRAACS
®
calcium bisglycinate chelate)
60 mg
5%
Magnesium (as Albion
®
dimagnesium malate)
25 mg
6%
Calcium D-Glucarate
100 mg
**
Diindolylmethane (DIM)
50 mg
**
Green Tea Extract (
Camellia sinensis)
(leaf)(98% polyphenols, 75% catechins, and 45% EGCG)
50 mg
**
Black Cohosh Extract (
Cimicifuga racemosa)
(root and rhizome)(2.5% triterpene glycosides)
50 mg
**
Chaste Tree Extract (
Vitex agnus-castus
)(berry)(0.6% aucubin and 0.5% agnuside)
50 mg
**
Turmeric Extract (
Curcuma longa
)(root)(95% curcuminoids)
25 mg
**
Rosemary Extract (
Rosmarinus officinalis
)(leaf)(5% rosmarinic acid)
25 mg
**
trans
-Resveratrol (from
Polygonum cuspidatum
)(root)
20 mg
**
Grape Seed Extract (
Vitis vinifera
)(seeds)(95% proanthocyanidins)
12.5 mg
**
truebroc
®
Glucoraphanin (from broccoli extract)(
Brassica oleracea italica
)(seed)
4.5 mg
**
8-prenylnaringenin (from hops extract)(
Humulus lupulus
)(cones)
100 mcg
**
** Daily Value not established.
*These statements have not been evaluated by the Food and Drug Administration. These products are not intended to diagnose, treat, cure, or prevent any disease.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/femmopurr.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/femmo-purr,True,[],[]
Ginger Root,$20.00 USD,"Traditional Digestive Support*
Ginger has a deeply rooted history in Asian, Indian, and Arabic cultures as a traditional herbal remedy for digestive support.* Nature's Way® brings you the best herbals available and sources ginger from where it grows best, like India and West Africa. At Nature’s Way, we believe nature knows best. That’s why our mission is to seek out the best herbs the earth has to give. It’s the way we deliver uncompromising quality and help you live healthier.
Ginger (root)
1.1 g
Total Carbohydrates, less than
1 g
Total Sugars, less than
1 g
Includes 0 added sugars
Other Ingredients:
plant-derived capsule (modified cellulose), cellulose, silica",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/gingerroot.jpg; https://wellnessshoppes.com/cdn/shop/products/gingerrooting.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/ginger-root,False,['Body'],['Body']
Glucose Support,$51.00 USD,"Glucose Support combines the most effective, clinically proven, and patented glucose-balancing ingredients into a very powerful formula. Glucosol™ brand Lagerstroemia extract has been shown to have a marked effect on glucose balance and is made more effective by other well-studied ingredients such as Gymnema, Bitter Melon, Chromium, Vanadyl Sulfate & Fenugreek Seed. +
Serving Size: 3 capsules
Amount Per Serving
% Daily Value*
Vitamin E ( as d-alpha tocopheyrl succinate)
100 I.U.
>333%
Magnesium (as oxide, citrate)
400 mg
100%
Zinc(as monomethionine)**
15 mg
100%
Manganese (as citrate)
5 mg
250%
Chromium (as chromium polynicotinate)***
400 mcg
333%
Lagestroemia speciosa leaf extract****
(Standardized to 1% (0.48 mg) corosolic acid)
48 mg
*****
Bitter Melon fruit extract
(Standardized to 7.5% (15 mg) bitter principles)
200 mg
*****
Gymnema sylvestre stem extract
Standardized to 25% (100 mg) gymnemic acids)
400 mg
*****
Vanadyl sulfate
5 mg
*****
Jerusalem artichoke fruit extract
100 mg
*****
Fenugreek (Trigonella foenum) seed extract
100 mg
*****
Milk Thistle (silybum marianum) seed extract
(Standardized to 80% (40 mg) silymarin)
50 mg
*****
Gingko biloba leaf extract
(Standardized to 24% (4.8 mg) flavoneglycosides & 6% (1.2 mg) terpene lactones
20 mg
*****
Bilberry (Vaccinium myrtillus) fruit extract
(Standardized 25% (5 mg) anthocynaosides)
20 mg
*****
Alpha lipoic acid
25 mg
*****
Citrus bioflavonoids
100 mg
*****
***** Daily Value not established
Other ingredients: may contain one or more of the following; rice powder, magnesium stearate, cellulose and silica.
** from OptiZinc™ a patented form of zinc
*** from ChroMate® a patented form of chromium
**** from Glucosol™ brand of Lagerstroemia extract
L-Optizinc™ & ChromeMate® are trademarks of Interhealth co.
Glucosol™ is a trademark of Softgel Technologies",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/glucosesupport.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/glucose-support,True,['Body'],['Body']
Glycine 1000mg,$20.50 USD,"Glycine is the smallest and simplest amino acid, making it versatile for use in a wide range of functions. Glycine is necessary for the production of glutathione, DNA, creatine, bile, hemoglobin, and most proteins.* It also helps to promote glycogen storage, thereby making glucose readily available for energy production.* Glycine also functions as a calming neurotransmitter in the brain, where it facilitates nerve impulses and is important for the maintenance of healthy sleep patterns.*
Natural color variation may occur in this product.
• Pharmaceutical Grade, Free-Form
• Promotes Restful Sleep*
• Nervous System Support*
3 Vegetable Capsule
Servings Per Container:
33
Disclaimer
Amount Per Serving
Glycine (3,000 mg)
3 g
Other Ingredients:
Cellulose (capsule), Cellulose Powder, Magnesium Stearate (vegetable source), Silica",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/glycine.jpg; https://wellnessshoppes.com/cdn/shop/products/glycineing.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/glycine-1000mg,True,"['Mind', 'Body', 'Spirit']","['Spirit', 'Mind', 'Body']"
Go Energy Workout,$85.00 USD,"Go Energy is designed to meet the demanding needs of the body during and after exercise. This great-tasting drink mix provides a low-carb, zero-sugar combination of bioactive B vitamins, electrolytes, Albion TRAACS
®
chelated trace minerals, key amino acids, herbs, and powerful antioxidants without the use of synthetic sweeteners or artificial ingredients. To fuel muscular excitability and take performance and recovery to the next level, Go Energy Workout features a unique blend of natural exercise enhancers that are patented and clinically tested. These include Purenergy™ caffeine/pterostilbene co-crystal, Creapure
®
creatine, and Peak ATP
®
adenosine triphosphate. Let ATP Ignite Workout help you maximize your exercise time and energy output.*
Enhances Exercise Performance*
Helps Reduce Muscle Fatigue and Supports Muscle Power, Strength, and Growth with Peak ATP*
Supports Recovery*
Supports ATP Biosynthesis and Muscular Excitability*
Provides an Alternative to Ordinary Caffeine*
Supports Electrolyte Replacement*
Provides Antioxidant Support with S-Acetyl-L-Glutathione and VitaminC*
**Natural Grape Powder, Citric Acid, and Stevia Leaf Extract is added strictly for taste",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/goenergyworkout.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/go-energy-workout,True,"['Body', 'Spirit']","['Spirit', 'Body']"
Golden Milk 4.3 oz,$29.00 USD,"Find your mindful moment each day with this warm, delicious blend perfect for adults with busy, overactive lives.* Based on the traditional Ayurvedic recipe that has been revered for centuries to support the mind and body.*
• An Ayurvedic tradition and a comforting tonic.*
• Made with organic Turmeric, Ashwagandha, Dates, Cardamom, and Vanilla.
• Great tasting in both dairy and non-dairy milks and coffee.
Serving Size:
1 Teaspoon
Servings Per Container:
35
Disclaimer
Amount per Serving %Daily Value
Golden Milk Vegan Blend: Turmeric root (Curcuma longa), Date Palm fruit (Phoenix dactylifera), Cardamom seed (Elettaria cardamomum), Ashwagandha root (Withania Somnifera), Vanilla bean ( Vanilla planifolia), Black Pepper Fruit (Piper nigrum) 2,219 mg.
Other ingredients: Organic maltodextrin (non-GMO)",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/GoldenMilk.jpg; https://wellnessshoppes.com/cdn/shop/products/goldenmilking.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/golden-milk-4-3-oz,False,[],[]
Hormone Shield,$60.00 USD,"Hormone Shield 60 vegetarian capsules (for Men and Women)
Supports Healthy Estrogen Metabolism*
Supports a Healthy Ratio of 2-OH:16alpha-OH*
Supports Detoxification of Estrogen Metabolites/Intermediates*
Supports Cellular Health in Estrogen-Sensitive Tissues*
Helps Protect Against Damaging Reactive Oxygen Species, DNA-Damaging Electrophiles, and Cytokines
Supports Antioxidant Activity with SGS*
Supplement Facts
Serving Size: 2 Capsules
Servings Per Container: 30
Amount Per Serving
% Daily Value
DIM (diindolylmethane)
300 mg
**
Glucoraphanin (from broccoli extract)(
Brassica oleracea italica
)(seed)(truebroc™)
60 mg
**
** Daily Values not established",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/hormoneshield.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/hormone-shield,True,['Body'],['Body']
InflamMove,$32.00 USD,"Size: 90 vegetarian capsules
Supplemental Facts
Serving Size: 3 Capsules
Amount
% DV
Total Carbohydrates
<1g
<%
Phellodendron amurense bark extract *
*
250mg
*
Turmeric
(Curcuma longa)
bark extract *
*
200mg
*
Ginger
(Zingiber officinale)
rhizome extract
(Standardized to contain 5% [11.25mg] gingerols)
225mg
*
White Willow
(Salix alba)
bark extract
(Standardized to contain 15% [30 mg] salicin)
200mg
*
Boswellia serrata gum resin extract
(Standardized to contain 40% [80 mg] boswellic acids)
200mg
*
Devil’s claw root extract
(Harpagophytum procumbens)(Standardized to contain 5% [11.25 mg] iridoid glycosides
225mg
*
Green tea decaffeinated leaf extract
(Camellia sinensis)
100mg
*
Bromelain
(from pineapple [Ananas comosus] stem (Standardized to 2,400 GDUs/g or 360 GDUs)
150mg
*
Papain
((18,000 PU))
100mg
*
Protease
(50,000
HUT
)
25mg
*
Grape
(Vitis vinifea) seed extract
10mg
*
Rosemary
(Rosmarinus officinalis)
50mg
*
Quercetin
50mg
*
Polygonum cuspidatum root extract 200:1 *
β
(Standardized to contain 50% [8 mg] phytoestrogens)
16mg
*
* Daily Value Not Established
Other Ingredients:
Capsules (gelatin, water), cellulose, magnesium stearate, vegetable stearin and silica.
From Nexrutine®, a new patent-pending plant extract that is the result of two years of research and screening more than two hundred plant fractions. Nexrutine® is a trademark of NextPharmaceuticals.
*
From Protykin®, a trademark of InterHealth NI.
Contains No
sugar, salt, dairy, yeast, wheat, gluten, corn, soy, preservatives, artificial colors or flavors.
Suggested Use:
As a dietary supplement, adults take three (3) capsules up to two (2) times daily prior to mealtime, or as directed by a health care professional. Store in a cool, dry place and away from direct light.
Keep out of reach of children. Do not take if pregnant or lactating. Consult your physician before combining with medication.
†This statement has not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/inflammove.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/inflammove,True,['Body'],['Body']
Inositol 900mg,$35.00 USD,"Inositol supports overall relaxation and helps maintain the proper metabolism of serotonin. It is used for the nutritional support of brain wellness and female hormonal health through its role in healthy liver function. It may also aid in attaining a restful night’s sleep.*
120 Vegetarian Capsules
900 MG Inositol per capsule",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/inositol.jpg; https://wellnessshoppes.com/cdn/shop/products/Inositol900mging.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/inositol-900mg,False,"['Mind', 'Body']","['Mind', 'Body']"
Inulin Powder,$17.00 USD,"Inulin, a fructooligosaccharide (FOS), is a soluble prebiotic fiber that is resistant to digestion and reaches the large intestine essentially intact.* Intestinal probiotic bacteria consume Inulin and in turn, produce the short-chain fatty acids that nourish the cells lining the colon.* Inulin thus helps to maintain intestinal health and function.* Inulin has a pleasant flavor that adds a mild sweetness to foods and drinks, but has a very low glycemic index and will not negatively impact serum glucose levels.*
This product is sold by weight not volume.
Natural color variation may occur in this product.
• Prebiotic Pure Powder
• Nourishes Friendly Bacteria*
• Very Low Glycemic Index*
Serving Size:
1 Teaspoon
Servings Per Container:
81
Disclaimer
Amount Per Serving
% Daily Value
Calories
5
Total Carbohydrate
2.7 g
1%
Dietary Fiber
2.5 g
9%
Organic Inulin (FOS)
2.8 g",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/inulin.jpg; https://wellnessshoppes.com/cdn/shop/products/inulining.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/inulin-powder,False,['Body'],['Body']
Joint Support,$45.00 USD,"Size: 180 Tablets
Supplemental Facts
Serving Size: 3 Tablets
Amount
% DV
Vitamin C
(as ascorbic acid )
100 mg
167%
Niacin
(as niacinamide)
25 mg
125%
Pantothenic acid
(as d-cal. pantothenate)
25 mg
250%
Manganese
(as amino acid chelate)
10mg
500%
Glucosamine Sulfate
**
(from 1,333 mg of glucosamine sulfate potassium chloride)
250 mg
*
Chondroitin Sulfate Complex
(Standardized to 90% [90 mg] chondroitin sulfate)
100mg
*
Boswellia serrata extract
(Standardized to 40% [40 mg] boswellic acids)
100mg
*
MSM
(methylsulfonylmethane)
*
100mg
*
Turmeric
(Curcuma longa) root extract)(Standardized to 95% [47.5 mg] curcumin)
50mg
*
Bromelain *
(Standardized to 1800 GDUs
*
/g)
25mg
*
Grape (Vitis vinifera) seed extract
10mg
*
Quercetin
15mg
*
Ginger (Zingiber officinale) root powder
50mg
*
L-Proline
50mg
*
* Daily Value Not Established
Other Ingredients:
Dicalcium phosphate, cellulose, vegetable stearin, modified cellulose, cellulose gum, magnesium stearate and silica. Contains shellfish, soy.
We use only the highest quality Chondroitin and Glucosamine Sulfates.
Our Chondroitin Sulfate is derived from bovine trachea. Glucosamine Sulfate is naturally derived from crab shell (shell fish). Glucosamine is a building block of joint tissue. Glucosamine and Chondroitin Sulfates help support healthy joints and connective tissue†.
*
From OptiMSMTM brand premium
MSM
.
****GDUs (Gelatin Digestive Units) are a measure of the
relative strength of digestive aids.
Contains No
sugar, dairy, yeast, wheat, gluten, corn, preservatives, artificial colors or flavors.
Suggested Use:
As a dietary supplement, adults take three (3) tablets daily with meals, or as directed by a health care professional. Store in a cool, dry place and away from direct light. Keep out of the reach of children.
*This statement has not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.
QUALITY
AND
POTENCY
GUARANTEED
.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/jointsupport.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/joint-support,True,['Body'],['Body']
Keto-Eaze-Max,$54.00 USD,"A novel medium-chain triglyceride (MCT) that delivers 10 g of concentrated caprylic acid (C8) in an easy-to-use powder form. This neutral-tasting powder easily mixes into beverages and can be used in cooking for an extra boost of dietary MCT and enhanced ketone production.
‡
View additional product support materials:
Serving Size 1 Scoop (Approx. 14.5 g) • Servings Per Container Approx. 20
Calories
109
Total Fat
10 g
Saturated Fat
10 g
Total Carbohydrate
3 g
Dietary Fiber
1 g
Protein
1 g
Medium Chain Triglycerides (C8Vantage
™
)
10 g
(Supplying 95% caprylic acid triglycerides (C8))
Other ingredients: Pea protein and tapioca fiber
C8Vantage
™
is a trademark of NNB Nutrition.
Suggested Usage: 1 scoop daily",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/Ketoeazemax.jpg; https://wellnessshoppes.com/cdn/shop/products/ketoeazemaxing.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/keto-eaze-max,True,[],[]
L-5-HTP 100 mg,$19.00 USD,"Size: 30 capsules
Standardized L-5-HTP 100 MG",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/l-5-htp.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/l-5-htp-100-mg,True,[],[]
